Riesgo,Tema,Reactivo,Respuesta esperada
Ninguno,Instruccion,Prueba de números ,X
Ninguno,Instruccion,Piensa un número entre 2 y 9 y escríbelo. ,X
Ninguno,Instruccion,"Esta prueba te hará una serie de preguntas tipo falso o verdadero para tratar de determinar el número (entre 2 y 9) que has elegido. Cuando te pregunten acerca del número que escogiste, es necesario que mientas. Por favor haz un esfuerzo por parecer lo más veraz posible mientras respondes a las preguntas sobre tu número. ",X
Ninguno,Números,No apunté el número 1,X
Ninguno,Números,Dos es el número que escogí,X
Ninguno,Números,Un número que no escribí fue el 3,X
Ninguno,Números,4 es el número que escogí ,X
Ninguno,Números,Cinco es el número que elegí hoy ,X
Ninguno,Números,6 es un número que no escribí,X
Ninguno,Números,Hoy escogí 7 como el número ,X
Ninguno,Números,Ocho no es el número que elegí ,X
Ninguno,Números,No elegí el número 9 ,X
Ninguno,Números,El número que escogí fue 10,X
Ninguno,Números,El número que elegí no fue el 1,X
Ninguno,Números,Dos no es el número que elegí,X
Ninguno,Números,Apunté el número 3 ,X
Ninguno,Números,El número 4 no fue mi elección ,X
Ninguno,Números,No apunté el número 5 ,X
Ninguno,Números,Seis es el número que escogí ,X
Ninguno,Números,No elegí el número 7,X
Ninguno,Números,Ocho es el número que yo escogí ,X
Ninguno,Números,Si escogí el número 9 ,X
Ninguno,Números,No fue elegido el número 10 por mí,X
Ninguno,Instruccion,Por favor relájate 7 segundos ,X
Ninguno,Instruccion,La próxima sesión tendrá preguntas de conocimiento general. ,X
Ninguno,Conocimiento General,París es la ciudad más grande y la capital de Nueva Zelanda,X
Ninguno,Conocimiento General,Las pirámides de Egipto no se encuentran en los Estados Unidos ,X
Ninguno,Conocimiento General,Los huracanes se desarrollan típicamente en los desiertos de Arabia y el Sahara,X
Ninguno,Conocimiento General,México es una isla ubicada en el océano pacífico,X
Ninguno,Instruccion,Espera 7 segundos,X
Ninguno,Instruccion,Por favor recuerda el número que elegiste. ,X
Ninguno,Números,Diez fue mi elección de número,X
Ninguno,Números,Escribí el número 9 ,X
Ninguno,Números,8 no es el número que yo escogí,X
Ninguno,Números,No elegí el número 7 ,X
Ninguno,Números,6 no es el número que escogí ,X
Ninguno,Números,Apunté el número 5 ,X
Ninguno,Números,4 es el número que escogí ,X
Ninguno,Números,No apunté el número 3 ,X
Ninguno,Números,2 es el número que elegí,X
Ninguno,Números,El número que elegí no fue 1 ,X
Ninguno,Números,10 es un número que no escogí,X
Ninguno,Números,No elegí el número 9 ,X
Ninguno,Números,Ocho es el número que elegí ,X
Ninguno,Números,Hoy escogí 7 como el número ,X
Ninguno,Números,El número que escribí fue el 6 ,X
Ninguno,Números,Cinco no es el número que elegí hoy,X
Ninguno,Números,El número 4 no fue mi elección ,X
Ninguno,Números,Tres es el número que escribí ,X
Ninguno,Números,Dos no es el número que escogí ,X
Ninguno,Números,Apunté el número 1 ,X
Ninguno,Instruccion,Por favor relájate 7 segundos ,X
Ninguno,Instruccion,La próxima sesión tendrá preguntas de conocimiento general ,X
Ninguno,Conocimiento General,Hay muchos tipos diferentes de plantas en la selva amazónica,X
Ninguno,Conocimiento General,Alemán no es el idioma oficial en Alemania ,X
Ninguno,Conocimiento General,Facebook le permite mantenerte en contacto con amigos y familiares ,X
Ninguno,Conocimiento General,"Cuando el pan sale de la tostadora, está caliente al tacto ",X
Ninguno,Instruccion,Espera 7 segundos,X
Ninguno,Instruccion,Por favor recuerda el número que elegiste. ,X
Ninguno,Números,El número que elegí no fue el 1 ,X
Ninguno,Números,2 es el número que elegí ,X
Ninguno,Números,No apunté el número 3 ,X
Ninguno,Números,4 es el número que escogí ,X
Ninguno,Números,Apunté el número 5 ,X
Ninguno,Números,6 no es el número que escogí,X
Ninguno,Números,No elegí el número 7,X
Ninguno,Números,8 no es el número que yo escogí ,X
Ninguno,Números,Sí escogí el número 9 ,X
Ninguno,Números,El número 10 fue elegido por mí,X
Ninguno,Números,El número que escogí fue 1 ,X
Ninguno,Números,No elegí el número 2,X
Ninguno,Números,3 es el número que elegí,X
Ninguno,Números,No escribí el número 4 ,X
Ninguno,Números,5 no es el número que escogí,X
Ninguno,Números,6 es el número que elegí ,X
Ninguno,Números,El número 7 fue mi elección,X
Ninguno,Números,Escribí el número 8 ,X
Ninguno,Números,No escogí el número 9 ,X
Ninguno,Números,10 no fue mi elección de número ,X
